209,240,240,271,250,240,271,261,313,344,397,313,344,397,198,198,209,209,
198,230,230,261,240,230,261,250,313,334,397,303,344,397,198,198,209,198,
188,219,219,261,261,219,250,230,292,334,397,292,344,397,188,188,188,188,
177,209,209,250,250,209,240,219,282,344,397,282,344,397,177,177,177,177,
167,198,198,240,250,198,230,219,282,334,397,282,344,397,157,157,167,167,
157,188,188,230,240,188,230,219,271,323,386,271,344,397,146,146,157,157,
136,177,177,209,230,177,219,219,261,323,386,261,334,397,136,136,136,136,
125,167,167,209,230,167,209,230,250,313,376,250,323,397,115,115,125,125,
104,146,146,198,209,146,198,230,240,313,376,240,323,376,104,104,104,104,
94,136,136,188,209,136,177,219,230,303,365,219,303,376,83,83,94,94,
83,125,125,167,167,125,167,198,230,303,365,219,303,365,83,83,83,83,
73,115,115,157,146,115,157,198,219,292,355,219,292,355,73,73,73,83,
73,115,115,157,115,157,177,209,292,355,209,292,355,63,63,73,73,
73,115,115,157,104,146,167,209,292,355,209,282,355,63,63,73,73,
73,104,115,157,104,146,167,209,292,355,209,282,344,63,63,73,73,
73,115,115,157,146,104,146,167,219,292,355,209,292,355,63,63,73,73,
73,115,115,167,188,115,157,177,209,292,355,209,292,355,63,63,73,73,
83,115,115,188,157,115,157,188,219,303,355,219,292,365,73,73,83,83,
94,125,125,177,209,125,167,209,230,303,355,230,313,365,83,83,83,83,
104,136,136,188,230,136,177,219,240,313,365,230,313,376,94,94,94,94,
115,146,146,198,219,146,188,219,250,323,386,250,323,386,104,104,115,115,
125,167,167,219,240,167,209,219,261,323,386,261,334,397,125,125,125,125,
146,177,188,230,240,177,219,209,271,313,386,271,334,397,136,136,146,146,
157,198,198,240,240,198,240,219,282,323,397,282,334,397,157,157,157,157,
177,209,209,261,261,209,250,230,282,323,397,282,334,397,167,167,177,167,
188,219,219,261,261,219,250,219,292,334,397,292,344,397,177,177,188,188,
198,230,230,271,261,230,261,230,303,334,397,303,344,397,188,198,198,198,
209,240,240,271,240,240,271,230,303,334,397,303,344,397,198,198,198,209,
219,250,250,282,250,240,282,250,313,334,397,313,344,397,209,209,209,209,
219,250,250,282,250,250,282,250,323,334,397,323,344,397,219,219,219,219,
230,250,250,292,250,250,282,250,323,334,397,323,344,397,219,219,219,219,
230,250,250,292,250,250,282,250,323,334,397,323,344,397,219,219,219,219,
230,250,250,292,250,250,282,250,323,334,397,323,344,397,219,219,219,219,
230,250,250,292,250,250,282,250,323,344,397,323,344,397,219,219,219,219,
230,250,250,292,261,250,282,250,323,344,397,323,344,397,219,219,219,219,
230,250,250,282,250,250,282,250,313,334,397,323,344,397,219,219,219,219,
219,250,250,282,240,240,282,240,313,334,397,313,344,397,209,209,209,219,
219,240,240,282,271,240,271,240,313,334,397,313,344,397,209,209,209,209,
209,230,230,271,271,230,271,250,303,323,397,303,344,397,198,198,198,198,
198,230,230,271,271,230,271,250,303,334,397,303,344,397,188,188,188,188,
177,219,219,261,261,219,261,250,292,334,397,292,344,397,177,177,177,177,
167,209,209,250,271,209,250,261,292,334,397,282,344,397,167,167,167,167,
157,198,198,240,271,198,240,261,282,334,397,282,334,397,146,146,157,157,
136,188,188,230,271,188,230,271,271,334,386,271,334,397,136,136,146,136,
125,167,167,219,261,167,219,261,261,323,386,261,323,397,125,125,125,125,
115,157,157,209,240,157,209,250,250,323,376,240,313,386,104,104,115,115,
104,146,146,188,198,146,188,230,240,313,376,230,303,365,94,94,104,104,
94,136,136,177,136,177,209,230,303,365,230,292,365,83,83,94,94,
83,125,125,167,157,125,167,198,219,292,365,219,292,365,73,73,83,83,
73,125,125,167,125,157,177,219,292,355,209,282,365,73,73,83,83,
73,115,115,167,157,115,146,177,219,282,355,209,282,355,63,63,73,73,
73,115,115,177,157,115,146,167,219,292,355,209,292,355,63,63,73,73,
73,115,115,177,157,115,146,177,219,292,355,209,292,355,63,63,73,73,
73,115,115,167,188,115,157,188,219,292,355,209,292,355,73,73,73,73,
83,125,125,177,209,125,157,188,219,292,355,219,292,365,73,73,83,83,
83,125,125,177,219,125,167,198,230,303,365,219,303,365,83,83,83,83,
94,136,136,188,219,136,177,219,240,313,365,230,303,365,94,94,94,94,
104,146,146,198,240,146,188,230,250,313,376,240,323,386,104,104,115,104,
125,167,167,209,250,167,198,219,261,323,386,250,323,397,115,115,125,125,
136,177,177,230,240,177,219,209,271,323,397,261,334,397,136,136,136,136,
157,198,198,240,240,198,240,219,282,323,386,282,334,397,146,146,157,157,
167,209,209,250,250,209,250,230,282,323,397,282,334,397,157,157,167,167,
